"CODMUNRES";"NOMEMUN";"nascidos_vivos";"ANO_NASC"
"420570";"Garopaba";251;2012
"420580";"Garuva";253;2012
"420590";"Gaspar";765;2012
"420600";"Governador Celso Ramos";166;2012
"420610";"Grão Pará";73;2012
"420620";"Gravatal";145;2012
"420630";"Guabiruba";247;2012
"420640";"Guaraciaba";115;2012
"420650";"Guaramirim";629;2012
"420660";"Guarujá do Sul";70;2012
"420665";"Guatambú";65;2012
"420670";"Herval d'Oeste";275;2012
"420675";"Ibiam";18;2012
"420680";"Ibicaré";39;2012
"420690";"Ibirama";256;2012
"420700";"Içara";842;2012
"420710";"Ilhota";166;2012
"420720";"Imaruí";95;2012
"420730";"Imbituba";525;2012
"420740";"Imbuia";65;2012
"420750";"Indaial";808;2012
"420757";"Iomerê";27;2012
"420760";"Ipira";54;2012
"420765";"Iporã do Oeste";87;2012
"420768";"Ipuaçu";120;2012
"420770";"Ipumirim";79;2012
"420775";"Iraceminha";39;2012
"420780";"Irani";112;2012
"420785";"Irati";21;2012
"420790";"Irineópolis";112;2012
"420800";"Itá";73;2012
"420810";"Itaiópolis";267;2012
"420820";"Itajaí";3030;2012
"420830";"Itapema";671;2012
"420840";"Itapiranga";214;2012
"420845";"Itapoá";205;2012
"420850";"Ituporanga";349;2012
"420860";"Jaborá";49;2012
"420870";"Jacinto Machado";133;2012
"420880";"Jaguaruna";255;2012
"420890";"Jaraguá do Sul";2333;2012
"420895";"Jardinópolis";16;2012
"420900";"Joaçaba";324;2012
"420910";"Joinville";7886;2012
"420915";"José Boiteux";92;2012
"420917";"Jupiá";27;2012
"420920";"Lacerdópolis";20;2012
"420930";"Lages";2299;2012
"420940";"Laguna";566;2012
"420945";"Lajeado Grande";15;2012
"420950";"Laurentino";85;2012
"420960";"Lauro Muller";185;2012
"420970";"Lebon Régis";160;2012
"420980";"Leoberto Leal";29;2012
"420985";"Lindóia do Sul";55;2012
"420990";"Lontras";141;2012
"421000";"Luiz Alves";144;2012
"421003";"Luzerna";48;2012
"421005";"Macieira";16;2012
"421010";"Mafra";745;2012
"421020";"Major Gercino";34;2012
"421030";"Major Vieira";95;2012
"421040";"Maracajá";92;2012
"421050";"Maravilha";315;2012
"421055";"Marema";12;2012
"421060";"Massaranduba";186;2012
"421070";"Matos Costa";41;2012
"421080";"Meleiro";73;2012
"421085";"Mirim Doce";30;2012
"421090";"Modelo";43;2012
"421100";"Mondaí";108;2012
"421105";"Monte Carlo";152;2012
"421110";"Monte Castelo";137;2012
"421120";"Morro da Fumaça";243;2012
"421125";"Morro Grande";44;2012
"421130";"Navegantes";1160;2012
"421140";"Nova Erechim";58;2012
"421145";"Nova Itaberaba";51;2012
"421150";"Nova Trento";153;2012
"421160";"Nova Veneza";178;2012
"421165";"Novo Horizonte";25;2012
"421170";"Orleans";299;2012
"421175";"Otacílio Costa";257;2012
"421180";"Ouro";78;2012
"421185";"Ouro Verde";24;2012
"421187";"Paial";28;2012
"421189";"Painel";35;2012
"421190";"Palhoça";2287;2012
"421200";"Palma Sola";97;2012
"421205";"Palmeira";30;2012
"421210";"Palmitos";191;2012
"421220";"Papanduva";267;2012
"421223";"Paraíso";49;2012
"421225";"Passo de Torres";80;2012
"421227";"Passos Maia";41;2012
"421230";"Paulo Lopes";93;2012
"421240";"Pedras Grandes";32;2012
"421250";"Penha";319;2012
"421260";"Peritiba";27;2012
"421265";"Pescaria Brava";NA;2012
"421270";"Petrolândia";82;2012
"421290";"Pinhalzinho";259;2012
